26 , 2024-03-12 00:08:15 ,    60.20 , 6.7531 , 7.7247 , 5.3076 , 7.4039 , 7.8558 , 5.1435 , 311.766 , 311.732 , 312.275 , 312.309 , 295.47 , 49.94 , 826.54 
27 , 2024-03-12 00:08:33 ,    50.20 , 6.7522 , 7.7232 , 5.2853 , 7.4048 , 7.8564 , 5.1744 , 311.834 , 311.698 , 312.275 , 312.275 , 295.48 , 50.10 , 826.51 
28 , 2024-03-12 00:08:52 ,    45.10 , 6.7528 , 7.7254 , 5.2963 , 7.4033 , 7.8583 , 5.1816 , 311.800 , 311.732 , 312.173 , 312.343 , 295.46 , 50.10 , 826.54 
29 , 2024-03-12 00:09:10 ,    40.20 , 6.7525 , 7.7252 , 5.3271 , 7.4024 , 7.8552 , 5.1903 , 311.766 , 311.902 , 312.207 , 312.411 , 295.46 , 49.96 , 826.55 
30 , 2024-03-12 00:09:28 ,    35.20 , 6.7537 , 7.7223 , 5.3439 , 7.4015 , 7.8540 , 5.1939 , 311.528 , 311.800 , 312.207 , 312.343 , 295.44 , 49.92 , 826.48 
31 , 2024-03-12 00:09:47 ,    30.20 , 6.7540 , 7.7278 , 5.3406 , 7.4030 , 7.8601 , 5.2230 , 311.698 , 311.868 , 312.343 , 312.343 , 295.44 , 49.89 , 826.53 
32 , 2024-03-12 00:10:05 ,    28.20 , 6.7525 , 7.7241 , 5.3357 , 7.4012 , 7.8564 , 5.2370 , 311.766 , 311.800 , 312.139 , 312.343 , 295.44 , 50.16 , 826.56 
33 , 2024-03-12 00:10:40 ,    89.80 , 6.7534 , 7.7235 , 5.3152 , 7.4027 , 7.8546 , 5.1272 , 311.766 , 311.834 , 312.241 , 312.377 , 295.38 , 50.49 , 826.54 
34 , 2024-03-12 00:10:59 ,    60.20 , 6.7537 , 7.7275 , 5.3103 , 7.4010 , 7.8561 , 5.1469 , 311.800 , 311.936 , 312.275 , 312.377 , 295.37 , 50.56 , 826.57 
35 , 2024-03-12 00:11:18 ,    50.20 , 6.7543 , 7.7260 , 5.2850 , 7.4030 , 7.8561 , 5.1689 , 311.732 , 311.868 , 312.343 , 312.377 , 295.38 , 50.41 , 826.50 
36 , 2024-03-12 00:11:36 ,    45.10 , 6.7531 , 7.7275 , 5.2923 , 7.4018 , 7.8589 , 5.1750 , 311.698 , 311.868 , 312.309 , 312.411 , 295.38 , 50.39 , 826.50 
37 , 2024-03-12 00:11:54 ,    40.20 , 6.7516 , 7.7269 , 5.3268 , 7.3972 , 7.8557 , 5.1860 , 311.766 , 311.834 , 312.173 , 312.343 , 295.39 , 50.14 , 826.51 
38 , 2024-03-12 00:12:12 ,    35.10 , 6.7534 , 7.7266 , 5.3446 , 7.3981 , 7.8543 , 5.1994 , 311.834 , 311.800 , 312.173 , 312.411 , 295.39 , 50.37 , 826.44 
39 , 2024-03-12 00:12:31 ,    30.20 , 6.7516 , 7.7278 , 5.3418 , 7.3969 , 7.8549 , 5.2288 , 311.732 , 311.902 , 312.207 , 312.445 , 295.39 , 50.14 , 826.55 
40 , 2024-03-12 00:12:49 ,    28.20 , 6.7531 , 7.7275 , 5.3384 , 7.3969 , 7.8558 , 5.2379 , 311.766 , 312.004 , 312.207 , 312.411 , 295.38 , 50.58 , 826.54 
41 , 2024-03-12 00:13:24 ,    89.80 , 6.7528 , 7.7284 , 5.3174 , 7.3970 , 7.8552 , 5.1292 , 311.902 , 311.834 , 312.139 , 312.411 , 295.33 , 51.13 , 826.52 
42 , 2024-03-12 00:13:43 ,    60.20 , 6.7525 , 7.7278 , 5.3106 , 7.3966 , 7.8567 , 5.1460 , 311.664 , 311.902 , 312.309 , 312.445 , 295.34 , 51.83 , 826.54 
43 , 2024-03-12 00:14:01 ,    50.20 , 6.7467 , 7.7278 , 5.2865 , 7.3960 , 7.8586 , 5.1692 , 311.800 , 311.868 , 312.275 , 312.445 , 295.35 , 51.90 , 826.50 
44 , 2024-03-12 00:14:19 ,    45.20 , 6.7525 , 7.7266 , 5.2929 , 7.3993 , 7.8534 , 5.1753 , 311.902 , 312.038 , 312.105 , 312.377 , 295.35 , 52.07 , 826.51 
45 , 2024-03-12 00:14:37 ,    40.20 , 6.7537 , 7.7278 , 5.3172 , 7.3957 , 7.8537 , 5.1822 , 311.630 , 311.970 , 312.207 , 312.377 , 295.33 , 52.01 , 826.50 
46 , 2024-03-12 00:14:55 ,    35.00 , 6.7525 , 7.7255 , 5.3446 , 7.3972 , 7.8544 , 5.1967 , 311.868 , 311.834 , 312.139 , 312.275 , 295.33 , 52.53 , 826.45 
47 , 2024-03-12 00:15:13 ,    30.10 , 6.7543 , 7.7273 , 5.3400 , 7.3996 , 7.8540 , 5.2265 , 311.868 , 311.766 , 312.207 , 312.377 , 295.32 , 52.03 , 826.46 
48 , 2024-03-12 00:15:31 ,    28.20 , 6.7507 , 7.7272 , 5.3366 , 7.3952 , 7.8564 , 5.2390 , 311.834 , 311.800 , 312.207 , 312.343 , 295.32 , 52.88 , 826.49 
49 , 2024-03-12 00:16:06 ,    90.00 , 6.7543 , 7.7272 , 5.3161 , 7.4009 , 7.8558 , 5.1224 , 311.732 , 311.902 , 312.207 , 312.343 , 295.26 , 52.62 , 826.48 
50 , 2024-03-12 00:16:25 ,    60.20 , 6.7556 , 7.7247 , 5.3113 , 7.3996 , 7.8528 , 5.1402 , 311.800 , 311.902 , 312.105 , 312.343 , 295.27 , 52.60 , 826.50 
